prob,dim,npts,nout,error,minimum,feval,niter,convergence,minimum_PT,maximum_PT,mean_PT,median_PT,memory,alloc
cubic_0.0_5.0_-10.0_-6.0_250_48.csv,4,250,48,6.142544251019899e-10,5.949444093986535e-17,7.0,7,true,0.000795552,0.0037318510000000004,0.000863067955,0.000808386,875648,8699
cubic_0.0_6.0_0.0_-8.0_150_20.csv,4,150,20,8.372906691579923e-9,5.132291156692489e-15,6.0,6,true,0.000380336,0.003444335,0.000420290423,0.00038611300000000005,484000,4865
cubic_0.0_6.0_-3.5_9.0_850_85.csv,4,850,85,7.140328328603118e-10,1.2388873538198376e-16,7.0,7,true,0.0051316320000000006,0.008642894,0.005398945778617711,0.0052102435,3282848,32353
cubic_0.0_8.5_-1.5_-7.5_850_178.csv,4,850,178,3.91781065712572e-9,3.0134583254435214e-16,13.0,13,true,0.008382296000000001,0.01207829,0.00881034316725352,0.0085037505,5288784,52801
cubic_0.0_9.5_1.0_-9.5_700_35.csv,4,700,35,2.650455296470369e-8,1.0685837750748727e-14,7.0,7,true,0.0036982770000000002,0.0067393800000000005,0.0038931952160000003,0.0037349395000000002,2860832,28153
cubic_-0.5_2.0_-6.0_5.0_900_198.csv,4,900,198,1.5418146759316187e-8,1.3921593951937533e-13,9.0,9,true,0.006610456000000001,0.010307675,0.006920721539419088,0.006689302,3854256,38185
cubic_0.5_2.5_-2.5_8.0_1000_160.csv,4,1000,160,4.887308957535197e-8,1.2406046745506724e-12,7.0,7,true,0.005759681,0.009447215,0.006067679870145631,0.005843589000000001,3600048,35503
cubic_-0.5_-3.5_-5.5_1.5_400_32.csv,4,400,32,3.676884585857021e-6,1.179509946422213e-10,7.0,7,true,0.001631946,0.004815528,0.001755207891,0.001654981,1573584,15671
cubic_-0.5_4.0_0.0_-4.0_250_45.csv,4,250,45,2.760613559971148e-7,7.00689528712069e-12,7.0,7,true,0.0008887540000000001,0.004211281,0.00096018027,0.0008984450000000001,888208,8825
cubic_0.5_-4.0_2.0_5.5_200_28.csv,4,200,28,1.9585240594865994e-6,1.620385960815971e-11,8.0,8,true,0.000745292,0.004044796000000001,0.000813967559,0.0007562305,852128,8498
cubic_0.5_-5.5_1.5_2.5_400_72.csv,4,400,72,2.802620580055759e-9,6.55141707695897e-16,7.0,7,true,0.001704687,0.005096695,0.001813962751,0.0017258525000000001,1406224,13991
cubic_-0.5_-6.0_-2.5_8.5_950_200.csv,4,950,200,3.6339820042030624e-10,4.927816551402277e-17,7.0,7,true,0.005057075,0.00863648,0.005335201479188901,0.005140689,3222352,31723
cubic_-0.5_6.5_-7.5_8.5_500_120.csv,4,500,120,1.3170852852795178e-8,5.482146914715547e-14,12.0,12,true,0.0043081230000000005,0.007945216,0.004547921276,0.004375892,2757920,27710
cubic_0.5_-8.0_-10.0_-4.5_600_114.csv,4,600,114,6.254108342318432e-11,1.094532601820009e-18,7.0,7,true,0.002618964,0.006946237,0.0027855240820000003,0.0026561980000000002,2109344,20632
cubic_10.0_-0.5_2.5_-8.0_450_104.csv,4,450,104,11.415089318401215,597.8344850675791,10.0,10,true,0.0027413650000000004,0.006397884,0.002915449868,0.0027806775000000002,2101504,21056
cubic_-10.0_-10.0_6.0_-10.0_300_33.csv,4,300,33,1.138708682901779e-9,1.6228716666462612e-16,6.0,6,true,0.0011866650000000002,0.004559738000000001,0.0012757421440000001,0.001199945,989344,9800
cubic_-10.0_1.5_-10.0_6.5_550_110.csv,4,550,110,12.237841469072482,1145.5357301418978,7.0,7,true,0.002460134,0.006180275000000001,0.0026261976460000003,0.0025042090000000003,1878496,18696
cubic_10.0_2.0_0.5_-9.0_500_85.csv,4,500,85,4.792788388385816e-11,4.715096268998631e-19,8.0,8,true,0.0024454610000000003,0.006029652000000001,0.0026232530440000006,0.0024943475000000002,2019808,20162
cubic_-10.0_2.0_7.0_-7.0_650_91.csv,4,650,91,6.037539357350852e-8,9.177833735776961e-13,7.0,7,true,0.003269254,0.0070707370000000005,0.003482434159,0.0033259095000000003,2416128,23701
cubic_1.0_-0.5_-2.5_-1.0_600_78.csv,4,600,78,9.481769314145794e-7,1.7786464591719407e-11,8.0,8,true,0.003414596,0.007170203000000001,0.003622117114,0.00345451,2570368,25306
cubic_-1.0_0.5_-4.5_-5.5_350_18.csv,4,350,18,3.549190572549321e-7,9.67357737665728e-13,7.0,7,true,0.001410488,0.004842438,0.001537592076,0.0014363085,1421840,14159
cubic_-10.0_-5.5_-1.0_-6.0_800_144.csv,4,800,144,2.62430077668796e-11,2.0394386093628955e-19,8.0,8,true,0.004986853,0.008624144,0.005268322914646998,0.00505549,3215104,31738
cubic_-1.0_-0.5_-9.5_8.5_900_99.csv,4,900,99,1.1236345187626284e-10,4.473026915471127e-18,7.0,7,true,0.005353905,0.009030036,0.005657108664027149,0.0054298975,3434656,33865
